,AbiD,AbiH,AbiJ,AbiL,AbiU,AbiZ,Avs_II,Avs_III,Avs_IV,Avs_V,BREX_I,CBASS_I,CBASS_II,CRISPR-Cas IF,CapRel,DRT_2,DRT_3,DRT_8,DRT_9,DarTG,Dazbog,Detocs,Dnd_ABCDE,Dnd_ABCDEFGH,Druantia_III,Dsr_II,Eleos,FS_GIY_YIG,GAPS4,Gabija,Gao_Her_DUF,Gao_Iet,Gao_Mza,Gao_Ppl,Gao_Qat,Gao_RL,Hachiman,Hna,Kiwa,Lamassu-Cap4_nuclease,Lamassu-Hydrolase_Protease,Lamassu-Mrr,Menshen,Mokosh_Type_I_C,NLR_like_bNACHT01,Old_exonuclease,Olokun,PARIS_I,PARIS_II,PARIS_II_merge,PD-Lambda-1,PD-Lambda-2,PD-Lambda-5,PD-T4-5,PD-T7-2,PD-T7-3,PD-T7-5,PrrC,PsyrTA,Pycsar,RM_I,RM_II,RM_IIG,RM_III,RM_IV,Retron_II,Retron_III,Retron_IV,Retron_I_A,Retron_I_C,Retron_VI,Retron_XI,Retron_XII,RloC,RosmerTA,Rst_3HP,Rst_HelicaseDUF2290,SEFIR,Septu,Shedu,ShosTA,SoFic,SspBCDE,Thoeris_I,Thoeris_II,Zorya_TypeI,dCTP deaminase,dGTPase,pAgo_LongB
Lamassu-Hydrolase_Protease,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.70E-05,1,1,1,1,0.01360083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.141278013,1,1,0.001828015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lamassu-Mrr,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2698913,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.049011129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.010123215
Menshen,1,1,1,1,1,1,1,1,1,1,1,1,1,0.423361204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002554339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.141278013,0.329824865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.144719216,1,1,1,1,1,1,1,1,1
Mokosh_Type_I_C,1,0.410666459,0.04967274,2.83E-17,1,1,1,1.06E-12,1,1,1,0.2860049,2.87E-08,0.127828354,1,1,0.410901081,1,1,1,1,1,1,1,1,1,0.035032362,1,1,0.000110957,1,1,1,1,0.006382172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.273066159,1,0.273645452,1,1,0.185966222,1,1,1,0.084453762,0.022321792,1,1,1,1,0.628802173,1,1,1,1,1,1,1,0.002663357,1,1,1,0.000154001,1,1,1,0.014515562,1,1,1,1,1,1
NLR_like_bNACHT01,1,0.382507801,0.098895009,0.625273171,0.633636624,1,1,1,0.17955795,1,0.654711869,0.149276287,0.01394212,0.003593528,1,1,0.773907396,1,1,1,0.060560554,0.170962122,1,1,1,1,1,1,1,0.013715159,0.63260158,2.50E-31,1,1,0.00744863,1,0.629336737,1,1,0.429968124,1,1,1,1,0.417186154,1,1,0.592528715,1,1,1,0.023543373,0.647524853,0.000957825,1,1,0.036596888,1,1,1,7.03E-11,0.01316364,1,0.66503125,0.629508059,1,0.726331835,1,1,1,0.62904951,1,1,1,0.012105677,1,1,0.128069738,0.009433899,0.2710248,0.079926153,0.397935781,0.000123424,1,1,1,0.272486975,0.048172069,1
Old_exonuclease,1,1,1,1,1,1,1,1,1,1,1,1,1,0.069858983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.051882461,1,1,1,1,1,1,1,1,1,0.001838129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Olokun,1,0.00362134,1,0.093632667,1,1,1,1,1,1,1,1,0.072222231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.623819981,1,0.00474907,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.196271447,1,1,0.141832379,1,1,1,1,1,1,1,1,1,1,0.634580741,1,0.013468683,1,0.619367793,1,1,1,0.620410887,1,1,1,1,1,1
PARIS_I,1,0.421669984,1,1,1,1,1,1,1,1,0.178923589,0.310320522,0.092822787,0.002980894,1,0.022078047,0.42216165,1,1,0.242372065,0.033147236,1,1,1,1,1,1,1,1,0.179222297,1,1,1,1,0.526465944,1,0.430815087,1,1,0.016170995,1,1,1,1,0.592528715,1,1,1,1,1,1,0.72938501,1,0.035409057,1.19E-06,1,0.035923699,1,1,1,0.580482538,0.015126558,1,0.561338915,2.26E-10,1,0.630912361,1,1,1,1.70E-05,1,1,1,0.423522425,1,1,0.04452165,0.243747497,0.12245508,1,1,0.00985768,1,1,1,0.630023011,1,0.196955709
PARIS_II,1,1,1,1,1,1,1,1,1,1,1,0.033885268,1,0.001778154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.086688043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.55641079,1,1,1,1,1,1,1,1,1,1,1,1,0.025254767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PARIS_II_merge,1,0.07737922,1,1,1,1,1,1,1,1,1,1,1,0.2698913,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.10046182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003382991,1,1,1,1,1,1,1,1,1,1,1,1
